"Nom","Dernier","+ Haut","+ Bas","Var.","Var.%","Vol.","Heure"
"Accor","46,59","46,86","46,23","-0,46","-0,98%","659,75K","07/03"
"Air Liquide","180,30","180,54","178,46","-0,20","-0,11%","1,09M","07/03"
"Capgemini","153,75","156,90","153,00","-3,40","-2,16%","615,71K","07/03"
"AXA","38,76","38,95","38,33","0,11","0,28%","5,27M","07/03"
"Danone","71,82","71,94","70,48","1,38","1,96%","2,1M","07/03"
"Engie","16,90","16,95","16,76","0,11","0,66%","7,04M","07/03"
"BNP Paribas","76,57","77,31","76,21","-0,60","-0,78%","3,56M","07/03"
"Bouygues","35,59","36,49","35,33","-1,07","-2,92%","1,45M","07/03"
"LVMH","634,70","647,80","628,60","-18,30","-2,80%","809,71K","07/03"
"L'Oréal","359,55","364,05","351,80","-6,25","-1,71%","753,87K","07/03"
"Schneider Electric","223,90","227,00","220,70","0,15","0,07%","1,55M","07/03"
"Saint-Gobain","105,90","106,65","102,90","0,00","0,00%","2,79M","07/03"
"Carrefour","13,030","13,125","12,860","-0,030","-0,23%","3,69M","07/03"
"EssilorLuxottica","272,00","273,00","266,80","0,50","0,18%","659,78K","07/03"
"Pernod Ricard","102,30","104,55","100,70","-1,80","-1,73%","667,79K","07/03"
"Crédit Agricole","16,58","16,65","16,47","0,00","0,00%","8,04M","07/03"
"Orange","11,74","11,74","11,61","0,14","1,21%","8,57M","07/03"
"Société Générale","42,08","42,21","41,43","0,06","0,14%","4M","07/03"
"Michelin","34,60","34,73","34,16","0,09","0,26%","2,52M","07/03"
"Airbus Group","169,56","174,76","168,54","-3,50","-2,02%","1,38M","07/03"
"Sanofi","109,62","110,06","108,46","0,00","0,00%","2,59M","07/03"
"Vivendi","2,95","2,99","2,87","0,11","3,87%","6,55M","07/03"
"TotalEnergies SE","56,54","57,09","56,00","0,22","0,39%","6,83M","07/03"
"STMicroelectronics","23,73","24,03","23,30","-0,31","-1,29%","3,8M","07/03"
"Vinci","117,00","118,15","116,15","-1,85","-1,56%","1,56M","07/03"
"Renault","47,61","48,86","46,98","-1,25","-2,56%","1,4M","07/03"
"Veolia","30,77","30,77","30,23","0,30","0,98%","3,98M","07/03"
"Kering","249,00","255,80","242,80","-10,10","-3,90%","494,92K","07/03"
"Unibail-Rodamco","75,20","76,20","74,18","-0,70","-0,92%","543,07K","07/03"
"ArcelorMittal","30,48","31,77","30,48","-1,69","-5,25%","4,32M","07/03"
"Thales","236,70","250,00","236,70","-10,50","-4,25%","894,76K","07/03"
"Dassault Systèmes","39,40","40,32","39,11","-1,03","-2,55%","2,04M","07/03"
"Eurofins Scientific SE","51,36","51,88","50,24","-0,36","-0,70%","432,64K","07/03"
"Publicis","94,78","94,90","91,94","2,12","2,29%","854,95K","07/03"
"Hermès International","2.524,00","2.565,00","2.505,00","-64,00","-2,47%","103,29K","07/03"
"Safran","250,80","259,50","250,80","-7,90","-3,05%","1,28M","07/03"
"Legrand","106,45","107,00","104,45","0,25","0,24%","761,35K","07/03"
"Teleperformance","102,60","106,80","100,25","-5,10","-4,74%","474,93K","07/03"
"Edenred","34,02","34,53","33,38","-0,28","-0,82%","659,23K","07/03"
"Stellantis NV","11,64","11,98","11,43","-0,17","-1,44%","5,33M","07/03"
