Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"'08 Mar 2025"
"All datapoints provided as of end of last active trading day."
"2020 BULKERS";BMG9156K1018;2020;"Oslo Børs";NOK;126.50;127.40;121.80;125.80;"'07/03/2025 16:25";CET;151127;'18842306.40;125.80;'07/03/2025
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;4.35;4.415;4.20;4.355;"'07/03/2025 17:35";CET;63522;'273326.505;4.355;'07/03/2025
"3D SYSTEMS CORP";US88554D2053;4DDD;EuroTLX;EUR;3.06;3.06;3.06;3.06;"10/01/2025 15:41";CET;1320;4039.20;2.693;'07/03/2025
"3D SYSTEMS CORP";US88554D2053;1DDD;"Euronext Global Equity Market";EUR;2.875;2.875;2.773;2.773;"'07/03/2025 15:47";CET;4002;11133.69;2.706;'07/03/2025
"3D SYSTEMS CORP";US88554D2053;2DDD;"Trading After Hours";EUR;4.403;4.403;4.403;4.403;"18/02/2025 19:07";CET;15;66.05;2.706;'07/03/2025
3M;US88579Y1010;4MMM;EuroTLX;EUR;142.76;142.76;142.76;142.76;"21/02/2025 16:48";CET;2;285.52;131.90;'07/03/2025
3M;US88579Y1010;1MMM;"Euronext Global Equity Market";EUR;134.46;134.46;132.68;132.68;"'07/03/2025 15:37";CET;2;267.14;131.84;'07/03/2025
3M;US88579Y1010;2MMM;"Trading After Hours";EUR;139.92;139.92;139.92;139.92;"25/02/2025 18:00";CET;13;1818.96;131.84;'07/03/2025
"4AIM SICAF";IT0005204729;AIM;"Euronext Growth Milan";EUR;81.75;83.79;81.00;81.99;"'07/03/2025 17:27";CET;140;11482.04;81.99;'07/03/2025
"4AIM SICAF COMP 2";IT0005440323;AIM2;"Euronext Growth Milan";EUR;164.00;170.00;155.84;170.00;"'07/03/2025 17:15";CET;46;7249.76;170.00;'07/03/2025
"5TH PLANET GAMES";DK0060945467;5PG;"Euronext Expand Oslo";NOK;'0.884;'0.90;'0.88;'0.89;"'07/03/2025 16:27";CET;58060;51707.498;'0.89;'07/03/2025
74SOFTWARE;FR0011040500;74SW;"Euronext Paris";EUR;29.70;30.20;29.70;30.20;"'07/03/2025 17:35";CET;17596;'527183.10;30.20;'07/03/2025
"A.B.P. NOCIVELLI";IT0005439861;ABP;"Euronext Growth Milan";EUR;4.92;4.94;4.92;4.94;"'07/03/2025 11:40";CET;2000;9850.00;4.94;'07/03/2025
A2A;IT0001233417;A2A;"Euronext Milan";EUR;2.14;2.17;2.126;2.17;"'07/03/2025 17:38";CET;8564124;'18476340.0665;2.17;'07/03/2025
A2A;IT0001233417;2A2A;"Trading After Hours";EUR;2.163;2.175;2.163;2.175;"'07/03/2025 19:59";CET;15740;34186.12;2.172;'07/03/2025
"AAK AB";SE0011337708;1AAK;"Euronext Global Equity Market";EUR;-;-;-;-;-;CET;-;-;26.20;'07/03/2025
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;35.28;36.36;35.14;36.28;"'07/03/2025 17:35";CET;1088777;'39161254.06;36.28;'07/03/2025
"AALBERTS NV";NL0000852564;2AALB;"Trading After Hours";EUR;-;-;-;-;-;CET;-;-;36.28;'07/03/2025
"AASEN SPAREBANK";NO0010672181;AASB;"Euronext Growth Oslo";NOK;127.50;128.00;127.50;128.00;"'07/03/2025 13:57";CET;2272;'290482.84;128.00;'07/03/2025
AATECH;IT0005548521;AAT;"Euronext Growth Milan";EUR;'0.70;'0.70;'0.68;'0.70;"'05/03/2025 13:26";CET;7500;5220.00;'0.70;'07/03/2025
"AB INBEV";BE0974293251;ABI;"Euronext Brussels";EUR;58.00;58.26;57.42;58.26;"'07/03/2025 17:38";CET;2111047;'122368733.14;58.26;'07/03/2025
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;1.43;1.442;1.362;1.388;"'07/03/2025 17:35";CET;59830;83841.544;1.388;'07/03/2025
ABATTOIR;BE0946377455;-;"Euronext Expert Market";EUR;45.00;45.00;45.00;45.00;"22/10/2024 11:30";CET;30;1350.00;45.00;'07/03/2025
"ABB Ltd";CH0012221716;1ABB;"Euronext Global Equity Market";EUR;-;-;-;-;-;CET;-;-;49.20;'07/03/2025
ABBVIE;US00287Y1091;1ABBV;"Euronext Global Equity Market";EUR;195.20;195.20;194.42;194.42;"'06/03/2025 17:23";CET;31;6034.82;195.62;'07/03/2025
