"Nom","Dernier","+ Haut","+ Bas","Var.","Var.%","Vol.","Heure"
"CK Hutchison","49,50","51,15","49,40","-2,05","-3,98%","45,38M","07/03"
"CLP","64,25","65,15","64,15","-2,00","-3,02%","5,41M","07/03"
"HK & China Gas","6,25","6,30","6,17","-0,02","-0,32%","34,39M","07/03"
"Wharf","19,38","19,80","19,24","-0,32","-1,62%","1,68M","07/03"
"HSBC","87,95","88,95","87,95","-2,05","-2,28%","37,46M","07/03"
"Power Assets","53,90","54,10","53,35","0,40","0,75%","4,52M","07/03"
"PCCW","4,59","4,62","4,58","-0,01","-0,22%","7,09M","07/03"
"Hang Seng Bank","107,10","108,00","106,70","-0,50","-0,46%","2M","07/03"
"Henderson Land","22,65","23,10","22,50","-0,10","-0,44%","6,23M","07/03"
"SHK Prop","76,00","76,90","75,55","-0,80","-1,04%","5,18M","07/03"
"New World","5,30","5,47","5,25","-0,13","-2,39%","18,2M","07/03"
"Swire Pacific","68,70","69,70","68,05","-0,15","-0,22%","2,32M","07/03"
"Bank of E Asia","11,72","11,90","11,44","0,22","1,91%","2,63M","07/03"
"MTR","26,40","26,40","25,30","0,15","0,57%","21,83M","07/03"
"Sino Land","7,95","8,00","7,90","-0,05","-0,63%","7,51M","07/03"
"Hang Lung Prop","6,68","6,81","6,63","-0,12","-1,76%","11,39M","07/03"
"China Mer","12,68","12,88","12,60","-0,02","-0,16%","5,48M","07/03"
"CITIC Pacific","9,52","9,68","9,39","0,05","0,53%","53,35M","07/03"
"China Resources Beer Holdings","26,80","27,70","25,75","0,65","2,49%","41M","07/03"
"Cathay Airways","11,10","11,30","10,84","0,24","2,21%","18,23M","07/03"
"Esprit","0,126","0,131","0,124","0,000","0,00%","642,78K","07/03"
"China Petrol & Chemical H","4,19","4,22","4,17","0,02","0,48%","160,52M","07/03"
"HKEx","359,80","367,80","357,40","-5,80","-1,59%","10,25M","07/03"
"Yue yuen ind","15,96","16,24","15,12","0,50","3,23%","4,8M","07/03"
"China Overseas","15,14","15,54","15,02","-0,12","-0,79%","42,22M","07/03"
"China Unicom Hong Kong","9,92","10,06","9,64","0,12","1,22%","76,95M","07/03"
"PetroChina H","5,80","5,85","5,71","0,05","0,87%","150,55M","07/03"
