"Nom","Volume moyen (3m)","Capitalisation","Chiffre d'affaires","PER","Bêta"
"Nissui","1,12M","272,5B","869,23B","11,79","0,191"
"Denka","465,93K","185,11B","398,02B","16,86","0,402"
"DOWA Holdings","221,85K","281,79B","682,77B","10,15","0,759"
"Mitsubishi Heavy Industries","51,77M","8,36T","4,94T","32,76",""
"Nomura","10,5M","2,85T","1,88T","8,81","0,61"
"Shin-Etsu Chemical","5,76M","8,78T","2,52T","16,16","1,05"
"Furukawa","259,25K","79,15B","192,42B","5,38","0,263"
"Kawasaki Heavy Industries","13,33M","1,46T","2,03T","17,64",""
"Matsui Securities","441,35K","206,44B","31,17B","23,64","0,174"
"Inpex Corp.","6,88M","2,31T","2,27T","5,39","0,731"
"Kyowa Kirin","1M","1,16T","495,56B","19,69","0,214"
"Furukawa Electric","3,91M","390,07B","1,17T","13,23","0,55"
"IHI Corp.","15,49M","1,64T","1,61T","13,85","1,33"
"Sompo Holdings Inc","2,99M","4,38T","5,15T","9,55","0,348"
"Comsys Holdings Corp.","367,33K","382,11B","605,18B","13,11","0,307"
"Mitsui Chemicals, Inc.","1,51M","654,76B","1,81T","13,15","0,668"
"Sumitomo Electric Industries","3,85M","2,09T","4,62T","11,25","0,535"
"Nissan Motor","81,33M","1,62T","12,66T","15,06","0,843"
"MS&AD Insurance Group Holdings","4,49M","4,89T","6,62T","7,11","0,352"
"Taisei Corp.","796,24K","1,18T","2,15T","11,87","0,493"
"Mitsubishi Chemical Holdings Corp","5,18M","1,14T","4,47T","15,17","0,43"
"Fujikura","24,67M","1,61T","911,76B","21,62","0,885"
"Isuzu Motors","2,08M","1,41T","3,20T","11,50","0,881"
"Obayashi Corp.","2,69M","1,44T","2,50T","12,15","0,437"
"Ube Industries","481,78K","228,04B","494,91B","-22,60","0,479"
"Toyo Seikan Group Holdings","430,11K","396,65B","935,64B","17,45","0,233"
"Dai-ichi Life","2,5M","4,08T","10,42T","9,04",""
"Shimizu Corp.","3,08M","937,98B","1,88T","12,20","0,347"
"Nippon Kayaku","513,71K","220,66B","219,99B","15,47","0,522"
"Okuma Corp.","305,36K","213,57B","209,67B","15,60",""
"Hino Motors","4,82M","270,38B","1,65T","-1,14","0,802"
"Tokio Marine Holdings, Inc.","5,28M","10,33T","7,88T","9,76","0,215"
"Kajima Corp.","1,54M","1,45T","2,70T","12,92","0,507"
